 Total (p,pp) knockout cross section (mb)                                       
  
      7.613
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.351180E-05     0.629721E-07     0.164261E-06
  -983.357          0.00000         0.355146E-05     0.115334E-06     0.165889E-06
  -980.079          0.00000         0.359138E-05     0.147824E-06     0.167308E-06
  -976.801          0.00000         0.363152E-05     0.175705E-06     0.168502E-06
  -973.524          0.00000         0.367187E-05     0.201416E-06     0.169453E-06
  -970.246          0.00000         0.371238E-05     0.227490E-06     0.170142E-06
  -966.968          0.00000         0.375303E-05     0.251353E-06     0.170554E-06
  -963.690          0.00000         0.379378E-05     0.270407E-06     0.170670E-06
  -960.412          0.00000         0.383460E-05     0.292292E-06     0.170474E-06
  -957.134          0.00000         0.387546E-05     0.311782E-06     0.169951E-06
  -953.856          0.00000         0.391631E-05     0.329051E-06     0.169084E-06
  -950.579          0.00000         0.395713E-05     0.349144E-06     0.167859E-06
  -947.301          0.00000         0.399786E-05     0.364355E-06     0.166263E-06
  -944.023          0.00000         0.403847E-05     0.384864E-06     0.164285E-06
  -940.745          0.00000         0.407892E-05     0.402992E-06     0.161914E-06
  -937.467          0.00000         0.411917E-05     0.418680E-06     0.159141E-06
  -934.189          0.00000         0.415917E-05     0.437302E-06     0.155960E-06
  -930.911          0.00000         0.419889E-05     0.453446E-06     0.152367E-06
  -927.634          0.00000         0.423828E-05     0.467167E-06     0.148361E-06
  -924.356          0.00000         0.427729E-05     0.486112E-06     0.143944E-06
  -921.078          0.00000         0.431590E-05     0.502900E-06     0.139121E-06
  -917.800          0.00000         0.435406E-05     0.517227E-06     0.133900E-06
  -914.522          0.00000         0.439173E-05     0.536796E-06     0.128293E-06
  -911.244          0.00000         0.442887E-05     0.551419E-06     0.122318E-06
  -907.966          0.00000         0.446546E-05     0.568615E-06     0.115997E-06
  -904.689          0.00000         0.450146E-05     0.583487E-06     0.109356E-06
  -901.411          0.00000         0.453684E-05     0.598387E-06     0.102427E-06
  -898.133          0.00000         0.457158E-05     0.613408E-06     0.952505E-07
  -894.855          0.00000         0.460567E-05     0.628660E-06     0.878703E-07
  -891.577          0.00000         0.463908E-05     0.648975E-06     0.803390E-07
  -888.299          0.00000         0.467180E-05     0.664286E-06     0.727166E-07
  -885.021          0.00000         0.470384E-05     0.679854E-06     0.650715E-07
  -881.744          0.00000         0.473520E-05     0.695374E-06     0.574808E-07
  -878.466          0.00000         0.476589E-05     0.711111E-06     0.500311E-07
