 Total (p,pp) knockout cross section (mb)                                       
  
     15.447
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.685092E-05     0.122836E-06     0.330045E-06
  -983.357          0.00000         0.693070E-05     0.225019E-06     0.334499E-06
  -980.079          0.00000         0.701106E-05     0.288472E-06     0.338583E-06
  -976.801          0.00000         0.709194E-05     0.342961E-06     0.342258E-06
  -973.524          0.00000         0.717328E-05     0.393241E-06     0.345485E-06
  -970.246          0.00000         0.725501E-05     0.444248E-06     0.348226E-06
  -966.968          0.00000         0.733706E-05     0.490964E-06     0.350440E-06
  -963.690          0.00000         0.741936E-05     0.528317E-06     0.352089E-06
  -960.412          0.00000         0.750182E-05     0.571209E-06     0.353133E-06
  -957.134          0.00000         0.758437E-05     0.609437E-06     0.353532E-06
  -953.856          0.00000         0.766692E-05     0.643355E-06     0.353247E-06
  -950.579          0.00000         0.774937E-05     0.682795E-06     0.352243E-06
  -947.301          0.00000         0.783164E-05     0.712726E-06     0.350481E-06
  -944.023          0.00000         0.791362E-05     0.752999E-06     0.347929E-06
  -940.745          0.00000         0.799522E-05     0.788635E-06     0.344555E-06
  -937.467          0.00000         0.807634E-05     0.819516E-06     0.340330E-06
  -934.189          0.00000         0.815686E-05     0.856136E-06     0.335228E-06
  -930.911          0.00000         0.823669E-05     0.887923E-06     0.329228E-06
  -927.634          0.00000         0.831571E-05     0.914984E-06     0.322313E-06
  -924.356          0.00000         0.839382E-05     0.952229E-06     0.314471E-06
  -921.078          0.00000         0.847092E-05     0.985282E-06     0.305698E-06
  -917.800          0.00000         0.854688E-05     0.101353E-05     0.295993E-06
  -914.522          0.00000         0.862162E-05     0.105199E-05     0.285365E-06
  -911.244          0.00000         0.869501E-05     0.108080E-05     0.273833E-06
  -907.966          0.00000         0.876697E-05     0.111460E-05     0.261421E-06
  -904.689          0.00000         0.883740E-05     0.114386E-05     0.248166E-06
  -901.411          0.00000         0.890621E-05     0.117316E-05     0.234117E-06
  -898.133          0.00000         0.897332E-05     0.120266E-05     0.219334E-06
  -894.855          0.00000         0.903864E-05     0.123260E-05     0.203891E-06
  -891.577          0.00000         0.910211E-05     0.127237E-05     0.187876E-06
  -888.299          0.00000         0.916367E-05     0.130235E-05     0.171394E-06
  -885.021          0.00000         0.922328E-05     0.133279E-05     0.154568E-06
  -881.744          0.00000         0.928092E-05     0.136309E-05     0.137537E-06
  -878.466          0.00000         0.933655E-05     0.139377E-05     0.120464E-06
  -875.188          0.00000         0.939019E-05     0.142410E-05     0.103531E-06
  -871.910          0.00000         0.944185E-05     0.144513E-05     0.869444E-07
  -868.632          0.00000         0.949157E-05     0.147576E-05     0.709368E-07
  -865.354          0.00000         0.953943E-05     0.150669E-05     0.557665E-07
  -862.076          0.00000         0.958550E-05     0.153802E-05     0.417209E-07
  -858.799          0.00000         0.962992E-05     0.156879E-05     0.291182E-07
  -855.521          0.00000         0.967282E-05     0.159495E-05     0.183092E-07
  -852.243          0.00000         0.971440E-05     0.162607E-05     0.967955E-08
  -848.965          0.00000         0.975487E-05     0.165726E-05     0.365144E-08
  -845.687          0.00000         0.979448E-05     0.168867E-05     0.686137E-09
  -842.409          0.00000         0.983355E-05     0.170939E-05     0.128602E-08
  -839.131          0.00000         0.987241E-05     0.174130E-05     0.599685E-08
  -835.854          0.00000         0.991146E-05     0.176778E-05     0.154101E-07
  -832.576          0.00000         0.995114E-05     0.179953E-05     0.301653E-07
  -829.298          0.00000         0.999195E-05     0.182122E-05     0.509525E-07
  -826.020          0.00000         0.100345E-04     0.185326E-05     0.785146E-07
  -822.742          0.00000         0.100793E-04     0.188552E-05     0.113650E-06
  -819.464          0.00000         0.101271E-04     0.191214E-05     0.157215E-06
  -816.186          0.00000         0.101787E-04     0.194540E-05     0.210127E-06
  -812.909          0.00000         0.102349E-04     0.196872E-05     0.273366E-06
  -809.631          0.00000         0.102967E-04     0.199763E-05     0.347979E-06
  -806.353          0.00000         0.103649E-04     0.203149E-05     0.435081E-06
  -803.075          0.00000         0.104407E-04     0.205610E-05     0.535860E-06
  -799.797          0.00000         0.105254E-04     0.209178E-05     0.651578E-06
  -796.519          0.00000         0.106200E-04     0.212249E-05     0.783577E-06
  -793.241          0.00000         0.107261E-04     0.214899E-05     0.933278E-06
  -789.964          0.00000         0.108450E-04     0.218716E-05     0.110219E-05
  -786.686          0.00000         0.109784E-04     0.222165E-05     0.129191E-05
  -783.408          0.00000         0.111280E-04     0.225214E-05     0.150412E-05
  -780.130          0.00000         0.112955E-04     0.229399E-05     0.174062E-05
  -776.852          0.00000         0.114830E-04     0.233244E-05     0.200328E-05
  -773.574          0.00000         0.116924E-04     0.236744E-05     0.229411E-05
  -770.296          0.00000         0.119261E-04     0.240950E-05     0.261520E-05
  -767.019          0.00000         0.121862E-04     0.245968E-05     0.296877E-05
  -763.741          0.00000         0.124753E-04     0.250191E-05     0.335716E-05
  -760.463          0.00000         0.127960E-04     0.255191E-05     0.378284E-05
  -757.185          0.00000         0.131511E-04     0.259996E-05     0.424840E-05
  -753.907          0.00000         0.135435E-04     0.265639E-05     0.475659E-05
  -750.629          0.00000         0.139762E-04     0.272079E-05     0.531027E-05
  -747.351          0.00000         0.144526E-04     0.277998E-05     0.591249E-05
  -744.074          0.00000         0.149759E-04     0.284894E-05     0.656643E-05
