 Total (p,pp) knockout cross section (mb)                                       
  
     10.051
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.103475E-04     0.187639E-06     0.263556E-05
  -983.357          0.00000         0.104243E-04     0.342935E-06     0.262602E-05
  -980.079          0.00000         0.104978E-04     0.438402E-06     0.261395E-05
  -976.801          0.00000         0.105679E-04     0.519579E-06     0.259935E-05
  -973.524          0.00000         0.106342E-04     0.593806E-06     0.258222E-05
  -970.246          0.00000         0.106966E-04     0.668616E-06     0.256259E-05
  -966.968          0.00000         0.107549E-04     0.736304E-06     0.254051E-05
  -963.690          0.00000         0.108087E-04     0.789116E-06     0.251603E-05
  -960.412          0.00000         0.108580E-04     0.849844E-06     0.248926E-05
  -957.134          0.00000         0.109025E-04     0.902993E-06     0.246029E-05
  -953.856          0.00000         0.109420E-04     0.948842E-06     0.242926E-05
  -950.579          0.00000         0.109763E-04     0.100249E-05     0.239632E-05
  -947.301          0.00000         0.110053E-04     0.104095E-05     0.236169E-05
  -944.023          0.00000         0.110289E-04     0.109465E-05     0.232556E-05
  -940.745          0.00000         0.110468E-04     0.114068E-05     0.228820E-05
  -937.467          0.00000         0.110591E-04     0.117885E-05     0.224988E-05
  -934.189          0.00000         0.110655E-04     0.122479E-05     0.221095E-05
  -930.911          0.00000         0.110662E-04     0.126277E-05     0.217175E-05
  -927.634          0.00000         0.110610E-04     0.129292E-05     0.213268E-05
  -924.356          0.00000         0.110499E-04     0.133802E-05     0.209421E-05
  -921.078          0.00000         0.110330E-04     0.137554E-05     0.205680E-05
  -917.800          0.00000         0.110104E-04     0.140504E-05     0.202101E-05
  -914.522          0.00000         0.109822E-04     0.144950E-05     0.198742E-05
  -911.244          0.00000         0.109485E-04     0.147833E-05     0.195667E-05
  -907.966          0.00000         0.109097E-04     0.151430E-05     0.192945E-05
  -904.689          0.00000         0.108659E-04     0.154237E-05     0.190652E-05
