 Total (p,pp) knockout cross section (mb)                                       
  
      9.718
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.105917E-04     0.191795E-06     0.268186E-05
  -983.357          0.00000         0.106663E-04     0.350455E-06     0.266995E-05
  -980.079          0.00000         0.107373E-04     0.447906E-06     0.265557E-05
  -976.801          0.00000         0.108047E-04     0.530701E-06     0.263871E-05
  -973.524          0.00000         0.108681E-04     0.606354E-06     0.261939E-05
  -970.246          0.00000         0.109273E-04     0.682568E-06     0.259767E-05
  -966.968          0.00000         0.109821E-04     0.751464E-06     0.257360E-05
  -963.690          0.00000         0.110323E-04     0.805120E-06     0.254728E-05
  -960.412          0.00000         0.110776E-04     0.866837E-06     0.251881E-05
  -957.134          0.00000         0.111179E-04     0.920786E-06     0.248833E-05
  -953.856          0.00000         0.111530E-04     0.967231E-06     0.245600E-05
  -950.579          0.00000         0.111827E-04     0.102162E-05     0.242203E-05
  -947.301          0.00000         0.112069E-04     0.106044E-05     0.238664E-05
  -944.023          0.00000         0.112254E-04     0.111483E-05     0.235009E-05
  -940.745          0.00000         0.112382E-04     0.116136E-05     0.231268E-05
  -937.467          0.00000         0.112450E-04     0.119982E-05     0.227475E-05
  -934.189          0.00000         0.112460E-04     0.124619E-05     0.223667E-05
  -930.911          0.00000         0.112411E-04     0.128442E-05     0.219886E-05
  -927.634          0.00000         0.112302E-04     0.131461E-05     0.216179E-05
  -924.356          0.00000         0.112135E-04     0.136009E-05     0.212598E-05
  -921.078          0.00000         0.111910E-04     0.139777E-05     0.209197E-05
  -917.800          0.00000         0.111630E-04     0.142726E-05     0.206039E-05
  -914.522          0.00000         0.111294E-04     0.147202E-05     0.203190E-05
  -911.244          0.00000         0.110907E-04     0.150080E-05     0.200723E-05
  -907.966          0.00000         0.110471E-04     0.153690E-05     0.198716E-05
  -904.689          0.00000         0.109989E-04     0.156491E-05     0.197253E-05
  -901.411          0.00000         0.109466E-04     0.159266E-05     0.196425E-05
  -898.133          0.00000         0.108907E-04     0.161987E-05     0.196330E-05
  -894.855          0.00000         0.108317E-04     0.164689E-05     0.197071E-05
  -891.577          0.00000         0.107703E-04     0.168910E-05     0.198760E-05
  -888.299          0.00000         0.107072E-04     0.171519E-05     0.201515E-05
  -885.021          0.00000         0.106432E-04     0.174104E-05     0.205462E-05
  -881.744          0.00000         0.105792E-04     0.176673E-05     0.210735E-05
  -878.466          0.00000         0.105162E-04     0.179216E-05     0.217474E-05
  -875.188          0.00000         0.104552E-04     0.181733E-05     0.225829E-05
  -871.910          0.00000         0.103976E-04     0.182679E-05     0.235958E-05
  -868.632          0.00000         0.103446E-04     0.185192E-05     0.248026E-05
  -865.354          0.00000         0.102976E-04     0.187705E-05     0.262207E-05
  -862.076          0.00000         0.102582E-04     0.190234E-05     0.278686E-05
  -858.799          0.00000         0.102280E-04     0.192805E-05     0.297652E-05
  -855.521          0.00000         0.102089E-04     0.194600E-05     0.319307E-05
  -852.243          0.00000         0.102029E-04     0.197269E-05     0.343859E-05
  -848.965          0.00000         0.102118E-04     0.200003E-05     0.371527E-05
  -845.687          0.00000         0.102381E-04     0.202811E-05     0.402539E-05
  -842.409          0.00000         0.102840E-04     0.204103E-05     0.437129E-05
  -839.131          0.00000         0.103521E-04     0.207147E-05     0.475543E-05
  -835.854          0.00000         0.104450E-04     0.209562E-05     0.518035E-05
  -832.576          0.00000         0.105656E-04     0.212922E-05     0.564866E-05
  -829.298          0.00000         0.107168E-04     0.214940E-05     0.616310E-05
  -826.020          0.00000         0.109018E-04     0.218721E-05     0.672644E-05
  -822.742          0.00000         0.111240E-04     0.222773E-05     0.734158E-05
  -819.464          0.00000         0.113868E-04     0.226307E-05     0.801147E-05
  -816.186          0.00000         0.116939E-04     0.231012E-05     0.873917E-05
  -812.909          0.00000         0.120491E-04     0.234524E-05     0.952777E-05
  -809.631          0.00000         0.124564E-04     0.239237E-05     0.103805E-04
  -806.353          0.00000         0.129200E-04     0.245180E-05     0.113005E-04
  -803.075          0.00000         0.134443E-04     0.250081E-05     0.122913E-04
  -799.797          0.00000         0.140338E-04     0.257071E-05     0.133561E-04
  -796.519          0.00000         0.146932E-04     0.263824E-05     0.144984E-04
  -793.241          0.00000         0.154273E-04     0.270536E-05     0.157217E-04
  -789.964          0.00000         0.162413E-04     0.279525E-05     0.170294E-04
  -786.686          0.00000         0.171402E-04     0.288615E-05     0.184252E-04
  -783.408          0.00000         0.181295E-04     0.297813E-05     0.199126E-04
  -780.130          0.00000         0.192147E-04     0.309337E-05     0.214952E-04
  -776.852          0.00000         0.204014E-04     0.321062E-05     0.231765E-04
  -773.574          0.00000         0.216955E-04     0.332993E-05     0.249602E-04
  -770.296          0.00000         0.231028E-04     0.347235E-05     0.268497E-04
  -767.019          0.00000         0.246294E-04     0.363391E-05     0.288486E-04
  -763.741          0.00000         0.262815E-04     0.379253E-05     0.309602E-04
  -760.463          0.00000         0.280653E-04     0.397185E-05     0.331881E-04
  -757.185          0.00000         0.299872E-04     0.416087E-05     0.355354E-04
  -753.907          0.00000         0.320536E-04     0.437217E-05     0.380054E-04
  -750.629          0.00000         0.342710E-04     0.460529E-05     0.406010E-04
  -747.351          0.00000         0.366458E-04     0.484469E-05     0.433253E-04
  -744.074          0.00000         0.391845E-04     0.511443E-05     0.461808E-04
  -740.796          0.00000         0.418938E-04     0.539145E-05     0.491703E-04
  -737.518          0.00000         0.447801E-04     0.570272E-05     0.522959E-04
  -734.240          0.00000         0.478497E-04     0.600885E-05     0.555599E-04
  -730.962          0.00000         0.511092E-04     0.636788E-05     0.589640E-04
  -727.684          0.00000         0.545648E-04     0.675761E-05     0.625098E-04
  -724.406          0.00000         0.582225E-04     0.714881E-05     0.661986E-04
  -721.129          0.00000         0.620884E-04     0.758390E-05     0.700315E-04
  -717.851          0.00000         0.661684E-04     0.803666E-05     0.740089E-04
  -714.573          0.00000         0.704678E-04     0.853118E-05     0.781313E-04
  -711.295          0.00000         0.749922E-04     0.905248E-05     0.823985E-04
  -708.017          0.00000         0.797465E-04     0.961466E-05     0.868102E-04
  -704.739          0.00000         0.847355E-04     0.101975E-04     0.913656E-04
  -701.461          0.00000         0.899635E-04     0.108235E-04     0.960634E-04
  -698.184          0.00000         0.954346E-04     0.114830E-04     0.100902E-03
  -694.906          0.00000         0.101152E-03     0.121634E-04     0.105880E-03
  -691.628          0.00000         0.107120E-03     0.129165E-04     0.110995E-03
  -688.350          0.00000         0.113340E-03     0.137051E-04     0.116245E-03
  -685.072          0.00000         0.119815E-03     0.145252E-04     0.121626E-03
  -681.794          0.00000         0.126546E-03     0.154099E-04     0.127136E-03
  -678.516          0.00000         0.133534E-03     0.162953E-04     0.132771E-03
  -675.239          0.00000         0.140781E-03     0.172584E-04     0.138529E-03
  -671.961          0.00000         0.148285E-03     0.182450E-04     0.144406E-03
  -668.683          0.00000         0.156047E-03     0.192954E-04     0.150398E-03
  -665.405          0.00000         0.164064E-03     0.203851E-04     0.156503E-03
  -662.127          0.00000         0.172336E-03     0.215254E-04     0.162718E-03
  -658.849          0.00000         0.180859E-03     0.227356E-04     0.169040E-03
  -655.571          0.00000         0.189631E-03     0.240000E-04     0.175468E-03
  -652.294          0.00000         0.198647E-03     0.253493E-04     0.181999E-03
  -649.016          0.00000         0.207904E-03     0.267163E-04     0.188634E-03
  -645.738          0.00000         0.217397E-03     0.281266E-04     0.195374E-03
  -642.460          0.00000         0.227120E-03     0.296190E-04     0.202219E-03
  -639.182          0.00000         0.237068E-03     0.311207E-04     0.209174E-03
  -635.904          0.00000         0.247235E-03     0.327407E-04     0.216243E-03
  -632.626          0.00000         0.257614E-03     0.343786E-04     0.223432E-03
  -629.349          0.00000         0.268199E-03     0.361328E-04     0.230752E-03
  -626.071          0.00000         0.278984E-03     0.378831E-04     0.238213E-03
  -622.793          0.00000         0.289961E-03     0.396651E-04     0.245830E-03
  -619.515          0.00000         0.301124E-03     0.415175E-04     0.253620E-03
  -616.237          0.00000         0.312468E-03     0.434957E-04     0.261603E-03
  -612.959          0.00000         0.323987E-03     0.455626E-04     0.269804E-03
  -609.681         0.304694E-03     0.335676E-03     0.476396E-04     0.278250E-03
  -606.404         0.308943E-03     0.347530E-03     0.498087E-04     0.286975E-03
  -603.126         0.311101E-03     0.359547E-03     0.520091E-04     0.296015E-03
  -599.848         0.315487E-03     0.371725E-03     0.541941E-04     0.305412E-03
  -596.570         0.319969E-03     0.384065E-03     0.565691E-04     0.315213E-03
  -593.292         0.322246E-03     0.396567E-03     0.589757E-04     0.325472E-03
  -590.014         0.326874E-03     0.409237E-03     0.614644E-04     0.336247E-03
  -586.736         0.329227E-03     0.422080E-03     0.640096E-04     0.347604E-03
  -583.459         0.334010E-03     0.435106E-03     0.665817E-04     0.359613E-03
  -580.181         0.338900E-03     0.448326E-03     0.692833E-04     0.372354E-03
  -576.903         0.341386E-03     0.461757E-03     0.719790E-04     0.385911E-03
  -573.625         0.346443E-03     0.475419E-03     0.747229E-04     0.400377E-03
  -570.347         0.349014E-03     0.489335E-03     0.776556E-04     0.415852E-03
