 Total (p,pp) knockout cross section (mb)                                       
  
     32.464
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.657791E-05     0.117814E-06     0.826270E-07
  -983.357          0.00000         0.663364E-05     0.215444E-06     0.812838E-07
  -980.079          0.00000         0.668875E-05     0.275628E-06     0.797317E-07
  -976.801          0.00000         0.674320E-05     0.326960E-06     0.779855E-07
  -973.524          0.00000         0.679696E-05     0.374046E-06     0.760654E-07
  -970.246          0.00000         0.685000E-05     0.421629E-06     0.739978E-07
  -966.968          0.00000         0.690231E-05     0.464888E-06     0.718158E-07
  -963.690          0.00000         0.695387E-05     0.498966E-06     0.695596E-07
  -960.412          0.00000         0.700469E-05     0.538182E-06     0.672769E-07
  -957.134          0.00000         0.705477E-05     0.572800E-06     0.650239E-07
  -953.856          0.00000         0.710414E-05     0.603055E-06     0.628653E-07
  -950.579          0.00000         0.715282E-05     0.638428E-06     0.608753E-07
  -947.301          0.00000         0.720086E-05     0.664502E-06     0.591380E-07
  -944.023          0.00000         0.724831E-05     0.700374E-06     0.577477E-07
  -940.745          0.00000         0.729526E-05     0.731674E-06     0.568099E-07
  -937.467          0.00000         0.734179E-05     0.758312E-06     0.564416E-07
  -934.189          0.00000         0.738802E-05     0.790213E-06     0.567724E-07
  -930.911          0.00000         0.743406E-05     0.817422E-06     0.579446E-07
  -927.634          0.00000         0.748007E-05     0.840027E-06     0.601144E-07
  -924.356          0.00000         0.752622E-05     0.872363E-06     0.634530E-07
  -921.078          0.00000         0.757271E-05     0.900452E-06     0.681467E-07
  -917.800          0.00000         0.761974E-05     0.923918E-06     0.743987E-07
  -914.522          0.00000         0.766757E-05     0.957183E-06     0.824301E-07
  -911.244          0.00000         0.771647E-05     0.981165E-06     0.924807E-07
  -907.966          0.00000         0.776674E-05     0.101006E-05     0.104811E-06
  -904.689          0.00000         0.781871E-05     0.103460E-05     0.119703E-06
  -901.411          0.00000         0.787275E-05     0.105934E-05     0.137461E-06
  -898.133          0.00000         0.792926E-05     0.108439E-05     0.158417E-06
  -894.855          0.00000         0.798868E-05     0.110997E-05     0.182928E-06
  -891.577          0.00000         0.805148E-05     0.114533E-05     0.211379E-06
  -888.299          0.00000         0.811819E-05     0.117157E-05     0.244188E-06
  -885.021          0.00000         0.818936E-05     0.119847E-05     0.281804E-06
  -881.744          0.00000         0.826559E-05     0.122571E-05     0.324710E-06
  -878.466          0.00000         0.834754E-05     0.125369E-05     0.373430E-06
  -875.188          0.00000         0.843592E-05     0.128201E-05     0.428523E-06
  -871.910          0.00000         0.853147E-05     0.130180E-05     0.490594E-06
  -868.632          0.00000         0.863501E-05     0.133166E-05     0.560289E-06
  -865.354          0.00000         0.874740E-05     0.136242E-05     0.638304E-06
  -862.076          0.00000         0.886956E-05     0.139437E-05     0.725381E-06
  -858.799          0.00000         0.900249E-05     0.142675E-05     0.822317E-06
  -855.521          0.00000         0.914724E-05     0.145580E-05     0.929963E-06
  -852.243          0.00000         0.930492E-05     0.149051E-05     0.104923E-05
  -848.965          0.00000         0.947672E-05     0.152672E-05     0.118108E-05
  -845.687          0.00000         0.966390E-05     0.156449E-05     0.132656E-05
  -842.409          0.00000         0.986778E-05     0.159354E-05     0.148676E-05
  -839.131          0.00000         0.100898E-04     0.163483E-05     0.166285E-05
  -835.854          0.00000         0.103314E-04     0.167220E-05     0.185609E-05
  -832.576          0.00000         0.105942E-04     0.171700E-05     0.206779E-05
  -829.298          0.00000         0.108798E-04     0.175378E-05     0.229938E-05
  -826.020          0.00000         0.111899E-04     0.180273E-05     0.255235E-05
  -822.742          0.00000         0.115264E-04     0.185449E-05     0.282829E-05
  -819.464          0.00000         0.118912E-04     0.190344E-05     0.312891E-05
  -816.186          0.00000         0.122863E-04     0.196131E-05     0.345600E-05
  -812.909          0.00000         0.127138E-04     0.201248E-05     0.381150E-05
  -809.631          0.00000         0.131758E-04     0.207220E-05     0.419744E-05
