 Total (p,pp) knockout cross section (mb)                                       
  
     11.658
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.921873E-05     0.168370E-06     0.237594E-05
  -983.357          0.00000         0.930644E-05     0.308070E-06     0.237912E-05
  -980.079          0.00000         0.939222E-05     0.394368E-06     0.238004E-05
  -976.801          0.00000         0.947585E-05     0.468079E-06     0.237863E-05
  -973.524          0.00000         0.955708E-05     0.535744E-06     0.237483E-05
  -970.246          0.00000         0.963567E-05     0.604115E-06     0.236858E-05
  -966.968          0.00000         0.971140E-05     0.666284E-06     0.235984E-05
  -963.690          0.00000         0.978400E-05     0.715287E-06     0.234857E-05
  -960.412          0.00000         0.985326E-05     0.771548E-06     0.233477E-05
  -957.134          0.00000         0.991891E-05     0.821118E-06     0.231843E-05
  -953.856          0.00000         0.998074E-05     0.864344E-06     0.229956E-05
  -950.579          0.00000         0.100385E-04     0.914729E-06     0.227820E-05
  -947.301          0.00000         0.100920E-04     0.951646E-06     0.225439E-05
  -944.023          0.00000         0.101409E-04     0.100235E-05     0.222821E-05
  -940.745          0.00000         0.101852E-04     0.104630E-05     0.219976E-05
  -937.467          0.00000         0.102245E-04     0.108328E-05     0.216913E-05
  -934.189          0.00000         0.102587E-04     0.112747E-05     0.213648E-05
  -930.911          0.00000         0.102876E-04     0.116458E-05     0.210197E-05
  -927.634          0.00000         0.103111E-04     0.119474E-05     0.206579E-05
  -924.356          0.00000         0.103289E-04     0.123839E-05     0.202816E-05
  -921.078          0.00000         0.103411E-04     0.127546E-05     0.198935E-05
  -917.800          0.00000         0.103474E-04     0.130540E-05     0.194962E-05
  -914.522          0.00000         0.103478E-04     0.134879E-05     0.190932E-05
  -911.244          0.00000         0.103422E-04     0.137824E-05     0.186879E-05
  -907.966          0.00000         0.103307E-04     0.141406E-05     0.182844E-05
  -904.689          0.00000         0.103132E-04     0.144287E-05     0.178871E-05
  -901.411          0.00000         0.102897E-04     0.147135E-05     0.175008E-05
  -898.133          0.00000         0.102604E-04     0.149934E-05     0.171310E-05
  -894.855          0.00000         0.102254E-04     0.152716E-05     0.167835E-05
  -891.577          0.00000         0.101848E-04     0.156809E-05     0.164646E-05
  -888.299          0.00000         0.101388E-04     0.159475E-05     0.161814E-05
  -885.021          0.00000         0.100878E-04     0.162114E-05     0.159413E-05
  -881.744          0.00000         0.100321E-04     0.164706E-05     0.157525E-05
  -878.466          0.00000         0.997195E-05     0.167259E-05     0.156239E-05
  -875.188          0.00000         0.990795E-05     0.169740E-05     0.155649E-05
  -871.910          0.00000         0.984060E-05     0.170829E-05     0.155857E-05
  -868.632          0.00000         0.977051E-05     0.173231E-05     0.156972E-05
  -865.354          0.00000         0.969836E-05     0.175597E-05     0.159112E-05
  -862.076          0.00000         0.962495E-05     0.177931E-05     0.162401E-05
  -858.799          0.00000         0.955115E-05     0.180228E-05     0.166971E-05
  -855.521          0.00000         0.947793E-05     0.181781E-05     0.172964E-05
  -852.243          0.00000         0.940638E-05     0.184036E-05     0.180529E-05
  -848.965          0.00000         0.933769E-05     0.186256E-05     0.189825E-05
  -845.687          0.00000         0.927315E-05     0.188454E-05     0.201018E-05
  -842.409          0.00000         0.921421E-05     0.189211E-05     0.214285E-05
  -839.131          0.00000         0.916241E-05     0.191421E-05     0.229810E-05
  -835.854          0.00000         0.911944E-05     0.192983E-05     0.247788E-05
  -832.576          0.00000         0.908713E-05     0.195223E-05     0.268423E-05
  -829.298          0.00000         0.906746E-05     0.196174E-05     0.291926E-05
  -826.020          0.00000         0.906253E-05     0.198529E-05     0.318521E-05
  -822.742          0.00000         0.907462E-05     0.200954E-05     0.348439E-05
  -819.464          0.00000         0.910615E-05     0.202740E-05     0.381921E-05
  -816.186          0.00000         0.915973E-05     0.205412E-05     0.419218E-05
  -812.909          0.00000         0.923810E-05     0.206849E-05     0.460589E-05
  -809.631          0.00000         0.934420E-05     0.209142E-05     0.506304E-05
  -806.353          0.00000         0.948114E-05     0.212285E-05     0.556641E-05
  -803.075          0.00000         0.965219E-05     0.214325E-05     0.611890E-05
  -799.797          0.00000         0.986082E-05     0.217964E-05     0.672346E-05
  -796.519          0.00000         0.101107E-04     0.221231E-05     0.738317E-05
  -793.241          0.00000         0.104056E-04     0.224158E-05     0.810118E-05
  -789.964          0.00000         0.107496E-04     0.228813E-05     0.888074E-05
  -786.686          0.00000         0.111470E-04     0.233243E-05     0.972518E-05
  -783.408          0.00000         0.116020E-04     0.237474E-05     0.106379E-04
  -780.130          0.00000         0.121194E-04     0.243555E-05     0.116225E-04
  -776.852          0.00000         0.127039E-04     0.249498E-05     0.126824E-04
  -773.574          0.00000         0.133605E-04     0.255403E-05     0.138214E-04
  -770.296          0.00000         0.140944E-04     0.262793E-05     0.150432E-04
  -767.019          0.00000         0.149110E-04     0.271577E-05     0.163516E-04
  -763.741          0.00000         0.158159E-04     0.279804E-05     0.177504E-04
  -760.463          0.00000         0.168147E-04     0.289517E-05     0.192435E-04
  -757.185          0.00000         0.179134E-04     0.299698E-05     0.208349E-04
  -753.907          0.00000         0.191182E-04     0.311527E-05     0.225286E-04
  -750.629          0.00000         0.204353E-04     0.324964E-05     0.243285E-04
  -747.351          0.00000         0.218711E-04     0.338480E-05     0.262386E-04
  -744.074          0.00000         0.234323E-04     0.354200E-05     0.282630E-04
  -740.796          0.00000         0.251255E-04     0.370302E-05     0.304055E-04
  -737.518          0.00000         0.269577E-04     0.388882E-05     0.326702E-04
