 Total (p,pp) knockout cross section (mb)                                       
  
     31.345
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.677727E-05     0.121289E-06     0.831298E-07
  -983.357          0.00000         0.683285E-05     0.221765E-06     0.812116E-07
  -980.079          0.00000         0.688777E-05     0.283667E-06     0.790969E-07
  -976.801          0.00000         0.694200E-05     0.336435E-06     0.768098E-07
  -973.524          0.00000         0.699552E-05     0.384818E-06     0.743801E-07
  -970.246          0.00000         0.704831E-05     0.433700E-06     0.718449E-07
  -966.968          0.00000         0.710038E-05     0.478117E-06     0.692482E-07
  -963.690          0.00000         0.715172E-05     0.513073E-06     0.666422E-07
  -960.412          0.00000         0.720234E-05     0.553310E-06     0.640874E-07
  -957.134          0.00000         0.725228E-05     0.588812E-06     0.616530E-07
  -953.856          0.00000         0.730158E-05     0.619813E-06     0.594182E-07
  -950.579          0.00000         0.735028E-05     0.656079E-06     0.574718E-07
  -947.301          0.00000         0.739845E-05     0.682768E-06     0.559135E-07
  -944.023          0.00000         0.744617E-05     0.719547E-06     0.548542E-07
  -940.745          0.00000         0.749354E-05     0.751621E-06     0.544165E-07
  -937.467          0.00000         0.754069E-05     0.778903E-06     0.547357E-07
  -934.189          0.00000         0.758774E-05     0.811602E-06     0.559602E-07
  -930.911          0.00000         0.763485E-05     0.839484E-06     0.582525E-07
  -927.634          0.00000         0.768222E-05     0.862636E-06     0.617896E-07
  -924.356          0.00000         0.773003E-05     0.895825E-06     0.667645E-07
  -921.078          0.00000         0.777852E-05     0.924647E-06     0.733868E-07
  -917.800          0.00000         0.782796E-05     0.948730E-06     0.818836E-07
  -914.522          0.00000         0.787861E-05     0.982926E-06     0.925014E-07
  -911.244          0.00000         0.793081E-05     0.100759E-05     0.105506E-06
  -907.966          0.00000         0.798489E-05     0.103735E-05     0.121187E-06
  -904.689          0.00000         0.804124E-05     0.106265E-05     0.139855E-06
  -901.411          0.00000         0.810028E-05     0.108819E-05     0.161845E-06
  -898.133          0.00000         0.816246E-05     0.111410E-05     0.187521E-06
  -894.855          0.00000         0.822827E-05     0.114060E-05     0.217275E-06
  -891.577          0.00000         0.829825E-05     0.117722E-05     0.251528E-06
  -888.299          0.00000         0.837298E-05     0.120451E-05     0.290735E-06
  -885.021          0.00000         0.845309E-05     0.123254E-05     0.335386E-06
  -881.744          0.00000         0.853924E-05     0.126098E-05     0.386008E-06
  -878.466          0.00000         0.863216E-05     0.129026E-05     0.443169E-06
  -875.188          0.00000         0.873263E-05     0.131997E-05     0.507479E-06
  -871.910          0.00000         0.884147E-05     0.134100E-05     0.579593E-06
  -868.632          0.00000         0.895958E-05     0.137247E-05     0.660214E-06
  -865.354          0.00000         0.908790E-05     0.140498E-05     0.750097E-06
  -862.076          0.00000         0.922744E-05     0.143881E-05     0.850050E-06
  -858.799          0.00000         0.937928E-05     0.147319E-05     0.960940E-06
  -855.521          0.00000         0.954456E-05     0.150429E-05     0.108369E-05
  -852.243          0.00000         0.972448E-05     0.154131E-05     0.121930E-05
