 Total (p,pp) knockout cross section (mb)                                       
  
      8.582
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.310121E-05     0.557435E-07     0.129798E-06
  -983.357          0.00000         0.313706E-05     0.102110E-06     0.131778E-06
  -980.079          0.00000         0.317328E-05     0.130899E-06     0.133658E-06
  -976.801          0.00000         0.320986E-05     0.155620E-06     0.135425E-06
  -973.524          0.00000         0.324678E-05     0.178435E-06     0.137064E-06
  -970.246          0.00000         0.328403E-05     0.201585E-06     0.138562E-06
  -966.968          0.00000         0.332157E-05     0.222794E-06     0.139904E-06
  -963.690          0.00000         0.335940E-05     0.239762E-06     0.141074E-06
  -960.412          0.00000         0.339749E-05     0.259252E-06     0.142059E-06
  -957.134          0.00000         0.343580E-05     0.276638E-06     0.142842E-06
  -953.856          0.00000         0.347432E-05     0.292079E-06     0.143407E-06
  -950.579          0.00000         0.351300E-05     0.310040E-06     0.143739E-06
  -947.301          0.00000         0.355183E-05     0.323702E-06     0.143823E-06
  -944.023          0.00000         0.359076E-05     0.342074E-06     0.143643E-06
  -940.745          0.00000         0.362977E-05     0.358357E-06     0.143184E-06
  -937.467          0.00000         0.366880E-05     0.372504E-06     0.142433E-06
  -934.189          0.00000         0.370784E-05     0.389279E-06     0.141376E-06
  -930.911          0.00000         0.374684E-05     0.403885E-06     0.140000E-06
  -927.634          0.00000         0.378575E-05     0.416368E-06     0.138294E-06
  -924.356          0.00000         0.382455E-05     0.433499E-06     0.136249E-06
  -921.078          0.00000         0.386318E-05     0.448760E-06     0.133854E-06
  -917.800          0.00000         0.390160E-05     0.461868E-06     0.131104E-06
  -914.522          0.00000         0.393979E-05     0.479643E-06     0.127994E-06
  -911.244          0.00000         0.397768E-05     0.493074E-06     0.124521E-06
  -907.966          0.00000         0.401524E-05     0.508803E-06     0.120686E-06
  -904.689          0.00000         0.405243E-05     0.522512E-06     0.116491E-06
