 Total (p,pp) knockout cross section (mb)                                       
  
     17.349
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.605686E-05     0.108836E-06     0.268013E-06
  -983.357          0.00000         0.612985E-05     0.199418E-06     0.273635E-06
  -980.079          0.00000         0.620366E-05     0.255722E-06     0.279075E-06
  -976.801          0.00000         0.627825E-05     0.304119E-06     0.284300E-06
  -973.524          0.00000         0.635359E-05     0.348820E-06     0.289277E-06
  -970.246          0.00000         0.642963E-05     0.394199E-06     0.293972E-06
  -966.968          0.00000         0.650632E-05     0.435813E-06     0.298348E-06
  -963.690          0.00000         0.658360E-05     0.469169E-06     0.302368E-06
  -960.412          0.00000         0.666142E-05     0.507470E-06     0.305996E-06
  -957.134          0.00000         0.673971E-05     0.541672E-06     0.309193E-06
  -953.856          0.00000         0.681841E-05     0.572104E-06     0.311922E-06
  -950.579          0.00000         0.689744E-05     0.607474E-06     0.314143E-06
  -947.301          0.00000         0.697672E-05     0.634467E-06     0.315818E-06
  -944.023          0.00000         0.705618E-05     0.670666E-06     0.316909E-06
  -940.745          0.00000         0.713572E-05     0.702797E-06     0.317380E-06
  -937.467          0.00000         0.721527E-05     0.730764E-06     0.317195E-06
  -934.189          0.00000         0.729473E-05     0.763887E-06     0.316319E-06
  -930.911          0.00000         0.737399E-05     0.792774E-06     0.314719E-06
  -927.634          0.00000         0.745297E-05     0.817522E-06     0.312366E-06
  -924.356          0.00000         0.753155E-05     0.851342E-06     0.309231E-06
  -921.078          0.00000         0.760964E-05     0.881535E-06     0.305291E-06
  -917.800          0.00000         0.768713E-05     0.907523E-06     0.300524E-06
  -914.522          0.00000         0.776390E-05     0.942618E-06     0.294914E-06
  -911.244          0.00000         0.783984E-05     0.969229E-06     0.288447E-06
  -907.966          0.00000         0.791486E-05     0.100031E-05     0.281118E-06
  -904.689          0.00000         0.798882E-05     0.102745E-05     0.272925E-06
  -901.411          0.00000         0.806163E-05     0.105464E-05     0.263873E-06
  -898.133          0.00000         0.813318E-05     0.108210E-05     0.253976E-06
  -894.855          0.00000         0.820335E-05     0.111001E-05     0.243252E-06
  -891.577          0.00000         0.827204E-05     0.114667E-05     0.231732E-06
  -888.299          0.00000         0.833915E-05     0.117472E-05     0.219454E-06
  -885.021          0.00000         0.840459E-05     0.120326E-05     0.206467E-06
  -881.744          0.00000         0.846826E-05     0.123170E-05     0.192834E-06
  -878.466          0.00000         0.853008E-05     0.126055E-05     0.178628E-06
  -875.188          0.00000         0.858998E-05     0.128908E-05     0.163937E-06
  -871.910          0.00000         0.864789E-05     0.130949E-05     0.148865E-06
  -868.632          0.00000         0.870375E-05     0.133837E-05     0.133533E-06
  -865.354          0.00000         0.875752E-05     0.136757E-05     0.118078E-06
  -862.076          0.00000         0.880918E-05     0.139718E-05     0.102659E-06
  -858.799          0.00000         0.885871E-05     0.142622E-05     0.874579E-07
  -855.521          0.00000         0.890612E-05     0.145126E-05     0.726775E-07
  -852.243          0.00000         0.895143E-05     0.148063E-05     0.585475E-07
  -848.965          0.00000         0.899470E-05     0.151006E-05     0.453248E-07
  -845.687          0.00000         0.903599E-05     0.153967E-05     0.332960E-07
  -842.409          0.00000         0.907541E-05     0.155973E-05     0.227794E-07
  -839.131          0.00000         0.911310E-05     0.158973E-05     0.141273E-07
  -835.854          0.00000         0.914921E-05     0.161476E-05     0.772852E-08
  -832.576          0.00000         0.918395E-05     0.164440E-05     0.401056E-08
  -829.298          0.00000         0.921756E-05     0.166498E-05     0.344210E-08
  -826.020          0.00000         0.925032E-05     0.169464E-05     0.653542E-08
  -822.742          0.00000         0.928256E-05     0.172435E-05     0.138490E-07
  -819.464          0.00000         0.931466E-05     0.174881E-05     0.259897E-07
  -816.186          0.00000         0.934706E-05     0.177906E-05     0.436160E-07
  -812.909          0.00000         0.938025E-05     0.180024E-05     0.674396E-07
  -809.631          0.00000         0.941478E-05     0.182614E-05     0.982287E-07
  -806.353          0.00000         0.945127E-05     0.185610E-05     0.136810E-06
  -803.075          0.00000         0.949041E-05     0.187755E-05     0.184073E-06
  -799.797          0.00000         0.953296E-05     0.190854E-05     0.240969E-06
  -796.519          0.00000         0.957978E-05     0.193469E-05     0.308518E-06
  -793.241          0.00000         0.963178E-05     0.195664E-05     0.387809E-06
  -789.964          0.00000         0.968998E-05     0.198857E-05     0.480004E-06
  -786.686          0.00000         0.975549E-05     0.201670E-05     0.586339E-06
  -783.408          0.00000         0.982952E-05     0.204071E-05     0.708130E-06
  -780.130          0.00000         0.991338E-05     0.207429E-05     0.846774E-06
  -776.852          0.00000         0.100085E-04     0.210427E-05     0.100376E-05
  -773.574          0.00000         0.101164E-04     0.213053E-05     0.118065E-05
  -770.296          0.00000         0.102387E-04     0.216210E-05     0.137912E-05
  -767.019          0.00000         0.103772E-04     0.220029E-05     0.160093E-05
  -763.741          0.00000         0.105338E-04     0.223062E-05     0.184795E-05
  -760.463          0.00000         0.107105E-04     0.226709E-05     0.212215E-05
  -757.185          0.00000         0.109095E-04     0.230072E-05     0.242563E-05
  -753.907          0.00000         0.111332E-04     0.234094E-05     0.276058E-05
  -750.629          0.00000         0.113839E-04     0.238741E-05     0.312936E-05
  -747.351          0.00000         0.116643E-04     0.242796E-05     0.353442E-05
  -744.074          0.00000         0.119773E-04     0.247584E-05     0.397838E-05
  -740.796          0.00000         0.123256E-04     0.252239E-05     0.446399E-05
  -737.518          0.00000         0.127126E-04     0.257705E-05     0.499417E-05
  -734.240          0.00000         0.131414E-04     0.262885E-05     0.557198E-05
  -730.962          0.00000         0.136155E-04     0.269145E-05     0.620070E-05
  -727.684          0.00000         0.141387E-04     0.276304E-05     0.688373E-05
  -724.406          0.00000         0.147148E-04     0.282960E-05     0.762472E-05
  -721.129          0.00000         0.153479E-04     0.290676E-05     0.842749E-05
  -717.851          0.00000         0.160423E-04     0.298563E-05     0.929607E-05
  -714.573          0.00000         0.168024E-04     0.307585E-05     0.102347E-04
  -711.295          0.00000         0.176330E-04     0.316878E-05     0.112479E-04
  -708.017          0.00000         0.185389E-04     0.327385E-05     0.123404E-04
  -704.739          0.00000         0.195255E-04     0.338180E-05     0.135170E-04
  -701.461          0.00000         0.205981E-04     0.350325E-05     0.147832E-04
  -698.184          0.00000         0.217623E-04     0.363112E-05     0.161442E-04
  -694.906          0.00000         0.230240E-04     0.376977E-05     0.176059E-04
  -691.628          0.00000         0.243893E-04     0.392091E-05     0.191743E-04
  -688.350          0.00000         0.258647E-04     0.408665E-05     0.208556E-04
  -685.072          0.00000         0.274567E-04     0.426165E-05     0.226565E-04
  -681.794          0.00000         0.291722E-04     0.445638E-05     0.245838E-04
  -678.516          0.00000         0.310184E-04     0.465477E-05     0.266446E-04
  -675.239          0.00000         0.330027E-04     0.487752E-05     0.288465E-04
  -671.961          0.00000         0.351326E-04     0.511202E-05     0.311971E-04
  -668.683          0.00000         0.374161E-04     0.536688E-05     0.337045E-04
  -665.405          0.00000         0.398614E-04     0.563284E-05     0.363770E-04
  -662.127          0.00000         0.424769E-04     0.592489E-05     0.392232E-04
  -658.849          0.00000         0.452711E-04     0.624514E-05     0.422522E-04
  -655.571          0.00000         0.482530E-04     0.658626E-05     0.454730E-04
  -652.294          0.00000         0.514316E-04     0.696125E-05     0.488952E-04
  -649.016          0.00000         0.548164E-04     0.735318E-05     0.525287E-04
  -645.738          0.00000         0.584169E-04     0.777242E-05     0.563834E-04
  -642.460          0.00000         0.622428E-04     0.822299E-05     0.604698E-04
  -639.182          0.00000         0.663042E-04     0.868714E-05     0.647986E-04
  -635.904          0.00000         0.706112E-04     0.921040E-05     0.693807E-04
  -632.626          0.00000         0.751743E-04     0.974821E-05     0.742274E-04
  -629.349          0.00000         0.800038E-04     0.103456E-04     0.793502E-04
  -626.071          0.00000         0.851106E-04     0.109596E-04     0.847610E-04
  -622.793          0.00000         0.905055E-04     0.116122E-04     0.904720E-04
  -619.515          0.00000         0.961994E-04     0.122950E-04     0.964958E-04
  -616.237          0.00000         0.102204E-03     0.130523E-04     0.102845E-03
  -612.959          0.00000         0.108529E-03     0.138683E-04     0.109533E-03
  -609.681         0.524530E-03     0.115187E-03     0.147182E-04     0.116573E-03
  -606.404         0.531862E-03     0.122190E-03     0.156297E-04     0.123980E-03
  -603.126         0.535587E-03     0.129548E-03     0.165778E-04     0.131768E-03
  -599.848         0.543157E-03     0.137274E-03     0.175560E-04     0.139951E-03
  -596.570         0.550891E-03     0.145378E-03     0.186492E-04     0.148546E-03
  -593.292         0.554821E-03     0.153873E-03     0.197814E-04     0.157569E-03
  -590.014         0.562810E-03     0.162770E-03     0.209866E-04     0.167036E-03
  -586.736         0.566870E-03     0.172081E-03     0.222675E-04     0.176966E-03
  -583.459         0.575125E-03     0.181819E-03     0.235830E-04     0.187377E-03
  -580.181         0.583565E-03     0.191994E-03     0.250101E-04     0.198289E-03
  -576.903         0.587856E-03     0.202619E-03     0.264811E-04     0.209723E-03
  -573.625         0.596584E-03     0.213706E-03     0.280198E-04     0.221702E-03
  -570.347         0.601022E-03     0.225267E-03     0.296948E-04     0.234249E-03
  -567.069         0.610050E-03     0.237315E-03     0.313915E-04     0.247391E-03
