 Total (p,pp) knockout cross section (mb)                                       
  
     12.820
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.852624E-05     0.156567E-06     0.219315E-05
  -983.357          0.00000         0.861423E-05     0.286601E-06     0.220084E-05
  -980.079          0.00000         0.870088E-05     0.367077E-06     0.220655E-05
  -976.801          0.00000         0.878599E-05     0.435938E-06     0.221021E-05
  -973.524          0.00000         0.886936E-05     0.499250E-06     0.221173E-05
  -970.246          0.00000         0.895077E-05     0.563292E-06     0.221105E-05
  -966.968          0.00000         0.902999E-05     0.621643E-06     0.220811E-05
  -963.690          0.00000         0.910682E-05     0.667825E-06     0.220288E-05
  -960.412          0.00000         0.918104E-05     0.720826E-06     0.219530E-05
  -957.134          0.00000         0.925242E-05     0.767659E-06     0.218536E-05
  -953.856          0.00000         0.932075E-05     0.808684E-06     0.217304E-05
  -950.579          0.00000         0.938580E-05     0.856445E-06     0.215834E-05
  -947.301          0.00000         0.944737E-05     0.891761E-06     0.214127E-05
  -944.023          0.00000         0.950525E-05     0.939963E-06     0.212186E-05
  -940.745          0.00000         0.955923E-05     0.981948E-06     0.210015E-05
  -937.467          0.00000         0.960910E-05     0.101752E-05     0.207620E-05
  -934.189          0.00000         0.965468E-05     0.105991E-05     0.205008E-05
  -930.911          0.00000         0.969577E-05     0.109579E-05     0.202190E-05
  -927.634          0.00000         0.973220E-05     0.112526E-05     0.199175E-05
  -924.356          0.00000         0.976379E-05     0.116733E-05     0.195977E-05
  -921.078          0.00000         0.979038E-05     0.120343E-05     0.192612E-05
  -917.800          0.00000         0.981183E-05     0.123296E-05     0.189097E-05
  -914.522          0.00000         0.982801E-05     0.127507E-05     0.185452E-05
  -911.244          0.00000         0.983879E-05     0.130429E-05     0.181702E-05
  -907.966          0.00000         0.984407E-05     0.133948E-05     0.177871E-05
  -904.689          0.00000         0.984377E-05     0.136824E-05     0.173988E-05
  -901.411          0.00000         0.983783E-05     0.139671E-05     0.170087E-05
  -898.133          0.00000         0.982621E-05     0.142480E-05     0.166203E-05
  -894.855          0.00000         0.980890E-05     0.145280E-05     0.162377E-05
  -891.577          0.00000         0.978592E-05     0.149297E-05     0.158653E-05
  -888.299          0.00000         0.975733E-05     0.151993E-05     0.155080E-05
  -885.021          0.00000         0.972320E-05     0.154671E-05     0.151712E-05
  -881.744          0.00000         0.968368E-05     0.157299E-05     0.148609E-05
  -878.466          0.00000         0.963894E-05     0.159896E-05     0.145835E-05
  -875.188          0.00000         0.958921E-05     0.162415E-05     0.143462E-05
  -871.910          0.00000         0.953477E-05     0.163647E-05     0.141568E-05
  -868.632          0.00000         0.947595E-05     0.166084E-05     0.140235E-05
  -865.354          0.00000         0.941317E-05     0.168485E-05     0.139557E-05
  -862.076          0.00000         0.934690E-05     0.170852E-05     0.139630E-05
  -858.799          0.00000         0.927769E-05     0.173160E-05     0.140561E-05
  -855.521          0.00000         0.920617E-05     0.174769E-05     0.142466E-05
  -852.243          0.00000         0.913308E-05     0.177011E-05     0.145465E-05
  -848.965          0.00000         0.905923E-05     0.179198E-05     0.149690E-05
  -845.687          0.00000         0.898552E-05     0.181345E-05     0.155281E-05
  -842.409          0.00000         0.891300E-05     0.182119E-05     0.162386E-05
  -839.131          0.00000         0.884279E-05     0.184225E-05     0.171164E-05
  -835.854          0.00000         0.877616E-05     0.185694E-05     0.181779E-05
  -832.576          0.00000         0.871448E-05     0.187751E-05     0.194409E-05
  -829.298          0.00000         0.865927E-05     0.188569E-05     0.209239E-05
  -826.020          0.00000         0.861218E-05     0.190651E-05     0.226462E-05
  -822.742          0.00000         0.857500E-05     0.192746E-05     0.246284E-05
  -819.464          0.00000         0.854967E-05     0.194183E-05     0.268916E-05
  -816.186          0.00000         0.853829E-05     0.196400E-05     0.294581E-05
  -812.909          0.00000         0.854311E-05     0.197402E-05     0.323510E-05
  -809.631          0.00000         0.856655E-05     0.199133E-05     0.355945E-05
  -806.353          0.00000         0.861119E-05     0.201573E-05     0.392136E-05
  -803.075          0.00000         0.867979E-05     0.202916E-05     0.432340E-05
  -799.797          0.00000         0.877528E-05     0.205670E-05     0.476828E-05
  -796.519          0.00000         0.890077E-05     0.208002E-05     0.525875E-05
  -793.241          0.00000         0.905957E-05     0.209907E-05     0.579769E-05
  -789.964          0.00000         0.925515E-05     0.213329E-05     0.638806E-05
  -786.686          0.00000         0.949119E-05     0.216425E-05     0.703290E-05
  -783.408          0.00000         0.977157E-05     0.219219E-05     0.773536E-05
  -780.130          0.00000         0.101003E-04     0.223652E-05     0.849866E-05
  -776.852          0.00000         0.104818E-04     0.227839E-05     0.932614E-05
  -773.574          0.00000         0.109203E-04     0.231888E-05     0.102212E-04
  -770.296          0.00000         0.114206E-04     0.237116E-05     0.111874E-04
  -767.019          0.00000         0.119876E-04     0.243533E-05     0.122282E-04
  -763.741          0.00000         0.126263E-04     0.249302E-05     0.133475E-04
  -760.463          0.00000         0.133419E-04     0.256322E-05     0.145489E-04
  -757.185          0.00000         0.141400E-04     0.263604E-05     0.158362E-04
  -753.907          0.00000         0.150263E-04     0.272290E-05     0.172135E-04
  -750.629          0.00000         0.160065E-04     0.282341E-05     0.186847E-04
  -747.351          0.00000         0.170867E-04     0.292264E-05     0.202537E-04
  -744.074          0.00000         0.182732E-04     0.304031E-05     0.219248E-04
  -740.796          0.00000         0.195725E-04     0.316046E-05     0.237021E-04
  -737.518          0.00000         0.209910E-04     0.330133E-05     0.255896E-04
  -734.240          0.00000         0.225356E-04     0.344075E-05     0.275916E-04
  -730.962          0.00000         0.242132E-04     0.360946E-05     0.297122E-04
  -727.684          0.00000         0.260309E-04     0.379886E-05     0.319555E-04
  -724.406          0.00000         0.279958E-04     0.398836E-05     0.343257E-04
  -721.129          0.00000         0.301153E-04     0.420576E-05     0.368266E-04
  -717.851          0.00000         0.323967E-04     0.443329E-05     0.394623E-04
  -714.573          0.00000         0.348475E-04     0.468837E-05     0.422366E-04
  -711.295          0.00000         0.374754E-04     0.495987E-05     0.451531E-04
  -708.017          0.00000         0.402878E-04     0.525980E-05     0.482153E-04
  -704.739          0.00000         0.432924E-04     0.557390E-05     0.514268E-04
  -701.461          0.00000         0.464968E-04     0.591953E-05     0.547905E-04
  -698.184          0.00000         0.499086E-04     0.628922E-05     0.583094E-04
  -694.906          0.00000         0.535352E-04     0.667863E-05     0.619863E-04
  -691.628          0.00000         0.573841E-04     0.711071E-05     0.658236E-04
